"student ID","sex"
6401,2
6402,2
6403,2
6404,2
6405,2
6406,2
6407,2
6408,2
6409,2
6410,1
6411,1
6412,2
6413,2
6414,2
6415,2
6416,2
6417,2
6418,1
6419,1
6420,2
6421,1
6422,2
6423,2
6424,1
6425,1
6426,2
6427,2
6428,1
6429,2
6430,1
6431,1
6432,2
6433,2
6434,2
6435,2
6436,2
